league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Danny Simpson,1,2016,461,75,746,DR,2,85,0,0,0,0.0,0.4627690017223358,0.4627690017223358,0,0.0,0,1,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Demarai Gray,1,2016,461,75,762,ML,10,70,0,0,3,0.05503980070352554,0.4976019859313965,0.4425620138645172,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Jamie Vardy,1,2016,461,75,755,FW,15,90,0,0,2,0.8769400119781494,1.0140299797058105,0.0,0,0.13708800077438354,2,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Kasper Schmeichel,1,2016,461,75,745,GK,1,90,0,0,0,0.0,0.07945209741592407,0.07945209741592407,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Leonardo Ulloa,1,2016,461,75,756,Sub,17,5,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Luis Hernández,1,2016,461,75,1680,DC,3,90,0,0,0,0.0,0.010190299712121487,0.010190299712121487,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Riyad Mahrez,1,2016,461,75,750,MR,8,90,1,0,5,1.0687400102615356,0.7684990167617798,0.4527530074119568,0,0.06201240047812462,1,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Shinji Okazaki,1,2016,461,75,754,Sub,17,20,0,0,2,0.058393798768520355,0.0890498012304306,0.0306560005992651,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Wes Morgan,1,2016,461,75,748,DC,3,90,0,0,0,0.0,0.4729599952697754,0.4527530074119568,0,0.02020690031349659,1,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Aleksandar Kolarov,1,2016,467,88,621,DC,3,90,0,0,0,0.0,0.12981000542640686,0.12981000542640686,0,0.0,0,1,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Bacary Sagna,1,2016,467,88,625,DR,2,90,0,0,1,0.014119699597358704,0.28736400604248047,0.28736400604248047,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,David Silva,1,2016,467,88,617,DMC,7,65,0,0,0,0.0,0.3422529995441437,0.2904660105705261,0,0.07648620009422302,2,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Fabian Delph,1,2016,467,88,876,Sub,17,25,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Fernandinho,1,2016,467,88,614,DMC,7,90,0,0,0,0.0,0.3434560000896454,0.3434560000896454,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Gaël Clichy,1,2016,467,88,613,DL,4,81,0,0,0,0.0,0.28395700454711914,0.28395700454711914,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Jesús Navas,1,2016,467,88,616,Sub,17,30,0,0,0,0.0,0.1726430058479309,0.12514300644397736,0,0.06161930039525032,3,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,John Stones,1,2016,467,88,586,DC,3,90,0,0,0,0.0,0.07802289724349976,0.07802289724349976,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Kelechi Iheanacho,1,2016,467,88,620,Sub,17,9,0,0,2,0.5025240182876587,0.5025240182876587,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Kevin De Bruyne,1,2016,467,88,447,AMC,12,90,0,0,5,0.19812899827957153,0.2601270079612732,0.05178710073232651,0,0.12514300644397736,1,0,0
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Nolito,1,2016,467,88,1732,AML,13,60,0,0,1,0.05178710073232651,0.12703199684619904,0.05642540007829666,0,0.018819499760866165,1,0,0
