,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,40,20,17,19,4,23,46,50.0,23,35,7,28,18,58,30,3
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,35,17,9,17,9,10,17,58.8,7,12,0,12,9,44,17,1
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8,0
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"FW,MF",18,2004,15.2,42,22,13,22,7,14,44,31.8,30,22,3,19,8,50,5,0
ENG-Premier League,2324,Brighton,Igor,BRA,DF,25,1998,18.2,25,18,7,16,2,17,29,58.6,12,22,9,13,14,39,52,1
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,DF,18,2005,9.7,14,5,7,4,3,5,13,38.5,8,6,2,4,14,28,18,0
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,19,10,9,5,5,9,18,50.0,9,8,2,6,2,21,12,0
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,47,26,25,19,3,27,45,60.0,18,49,27,22,30,77,76,4
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32,1990,17.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,8,1
ENG-Premier League,2324,Brighton,João Pedro,BRA,"FW,MF",21,2001,22.7,31,14,10,13,8,14,24,58.3,10,15,2,13,11,42,28,0
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,31,1992,17.6,54,41,32,17,5,39,58,67.2,19,17,7,10,18,72,57,1
ENG-Premier League,2324,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,6,2,3,2,1,2,7,28.6,5,11,0,11,0,6,3,0
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,27,14,17,9,1,13,36,36.1,23,49,37,12,31,58,90,1
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0
ENG-Premier League,2324,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,1,0,1,0,0,1,2,50.0,1,2,1,1,0,1,1,0
ENG-Premier League,2324,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,70,46,33,21,16,31,72,43.1,41,41,8,33,22,92,32,3
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,DF,25,1998,13.8,26,13,12,11,3,14,30,46.7,16,14,4,10,21,47,20,0
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,FW,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0
ENG-Premier League,2324,Brighton,Solly March,ENG,"FW,DF",29,1994,6.2,19,14,9,7,3,8,14,57.1,6,5,0,5,11,30,8,0
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,FW",22,2000,10.2,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0
ENG-Premier League,2324,Brighton,Valentín Barco,ARG,"DF,FW",19,2004,3.4,11,5,4,5,2,6,8,75.0,2,3,0,3,4,15,3,1
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,"MF,FW",20,2003,5.9,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21,2002,11.7,12,5,4,7,1,1,10,10.0,9,13,6,7,12,24,38,2
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,"FW,MF",22,2000,1.7,1,0,1,0,0,0,4,0.0,4,2,0,2,0,1,1,1
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,4
ENG-Premier League,2324,Burnley,Benson Manuel,ANG,"MF,FW",26,1997,1.3,3,2,2,1,0,0,0,,0,1,0,1,0,3,0,0
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,29,1993,25.9,35,20,19,14,2,17,35,48.6,18,27,11,16,19,54,78,0
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,27,1995,9.1,12,5,6,4,2,8,17,47.1,9,8,6,2,4,16,25,2
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24,1999,32.1,39,20,22,14,3,11,26,42.3,15,41,30,11,35,74,158,2
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,20,2002,9.8,10,5,3,5,2,3,6,50.0,3,9,3,6,1,11,2,0
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,"MF,DF",22,2001,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
ENG-Premier League,2324,Burnley,Hannes Delcroix,HAI,DF,24,1999,6.5,10,6,6,4,0,3,4,75.0,1,9,3,6,9,19,26,0
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,24,1998,4.9,4,2,2,2,0,2,4,50.0,2,10,5,5,6,10,21,0
ENG-Premier League,2324,Burnley,Jack Cork,ENG,MF,34,1989,0.3,2,0,0,2,0,1,3,33.3,2,0,0,0,1,3,1,0
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",24,1998,13.9,9,4,4,3,2,7,21,33.3,14,16,2,14,7,16,23,0
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,18,1
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34,1989,9.1,14,9,7,4,3,7,13,53.8,6,11,1,10,1,15,8,0
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23,2000,13.7,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,27,1995,25.0,61,35,23,28,10,27,37,73.0,10,33,8,25,34,95,40,1
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27,1996,22.9,42,29,15,22,5,26,46,56.5,20,31,19,12,15,57,26,1
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,"MF,FW",32,1990,13.2,13,4,6,5,2,7,16,43.8,9,14,0,14,16,29,16,0
